sex,race,topic,llm,experiment_index,debate_iter,metric,value
1,1,1,1,-4,1,1,0
1,1,1,1,-4,1,0,-83.33333333333334
1,2,1,1,-4,1,1,166.66666666666669
1,2,1,1,-4,1,0,0
1,3,1,1,-4,1,1,0
1,3,1,1,-4,1,0,-83.33333333333334
2,1,1,1,-4,1,1,0
2,1,1,1,-4,1,0,-83.33333333333334
2,2,1,1,-4,1,1,0
2,2,1,1,-4,1,0,-83.33333333333334
2,3,1,1,-4,1,1,166.66666666666669
2,3,1,1,-4,1,0,0
1,1,1,1,-4,2,1,0
1,1,1,1,-4,2,0,0
1,2,1,1,-4,2,1,0
1,2,1,1,-4,2,0,0
1,3,1,1,-4,2,1,0
1,3,1,1,-4,2,0,0
2,1,1,1,-4,2,1,0
2,1,1,1,-4,2,0,0
2,2,1,1,-4,2,1,0
2,2,1,1,-4,2,0,0
2,3,1,1,-4,2,1,0
2,3,1,1,-4,2,0,0
1,1,1,1,-4,3,1,0
1,1,1,1,-4,3,0,0
1,2,1,1,-4,3,1,0
1,2,1,1,-4,3,0,0
1,3,1,1,-4,3,1,0
1,3,1,1,-4,3,0,0
2,1,1,1,-4,3,1,0
2,1,1,1,-4,3,0,0
2,2,1,1,-4,3,1,0
2,2,1,1,-4,3,0,0
2,3,1,1,-4,3,1,0
2,3,1,1,-4,3,0,0
1,1,1,1,-4,4,1,0
1,1,1,1,-4,4,0,0
1,2,1,1,-4,4,1,0
1,2,1,1,-4,4,0,0
1,3,1,1,-4,4,1,0
1,3,1,1,-4,4,0,0
2,1,1,1,-4,4,1,0
2,1,1,1,-4,4,0,0
2,2,1,1,-4,4,1,0
2,2,1,1,-4,4,0,0
2,3,1,1,-4,4,1,0
2,3,1,1,-4,4,0,0
1,1,1,1,-4,5,1,0
1,1,1,1,-4,5,0,0
1,2,1,1,-4,5,1,0
1,2,1,1,-4,5,0,0
1,3,1,1,-4,5,1,0
1,3,1,1,-4,5,0,0
2,1,1,1,-4,5,1,0
2,1,1,1,-4,5,0,0
2,2,1,1,-4,5,1,0
2,2,1,1,-4,5,0,0
2,3,1,1,-4,5,1,0
2,3,1,1,-4,5,0,0
1,1,1,1,-4,6,1,0
1,1,1,1,-4,6,0,0
1,2,1,1,-4,6,1,0
1,2,1,1,-4,6,0,0
1,3,1,1,-4,6,1,0
