LLM,topic,experiment,if_base,稳态轮次,达成共识轮次,共识观点,末轮观点分布,末轮平均观点
DeepSeek-V3.2,1,-4,1,1,11,False,polar,0.0
DeepSeek-V3.2,1,-3,1,1,11,False,polar,-0.6666666666666666
DeepSeek-V3.2,1,-2,1,2,11,False,polar,-0.3333333333333333
DeepSeek-V3.2,1,-1,1,1,11,False,polar,-0.3333333333333333
DeepSeek-V3.2,1,0,1,1,11,False,polar,-0.6666666666666666
DeepSeek-V3.2,1,1,0,10,11,False,-1_0_1,0.3333333333333333
DeepSeek-V3.2,1,2,0,8,11,False,polar,0.3333333333333333
DeepSeek-V3.2,1,3,0,6,11,False,polar,0.6666666666666666
DeepSeek-V3.2,1,4,0,2,11,False,-1_0_1,0.5
DeepSeek-V3.2,1,5,0,6,11,False,polar,0.6666666666666666
DeepSeek-V3.2,1,6,0,10,11,False,-1_0_1,0.16666666666666666
DeepSeek-V3.2,1,7,0,4,11,False,-1_0_1,0.5
DeepSeek-V3.2,1,8,0,6,11,False,-1_0_1,0.5
DeepSeek-V3.2,1,9,0,10,11,False,-1_0_1,0.5
DeepSeek-V3.2,1,10,0,9,11,False,-1_0_1,0.5
DeepSeek-V3.2,1,11,0,7,11,False,polar,0.6666666666666666
DeepSeek-V3.2,1,12,0,4,11,False,polar,0.6666666666666666
DeepSeek-V3.2,1,13,0,5,11,False,polar,0.6666666666666666
DeepSeek-V3.2,1,14,0,3,11,False,polar,0.6666666666666666
DeepSeek-V3.2,1,15,0,1,11,False,-1_0_1,-0.16666666666666666
DeepSeek-V3.2,1,16,0,1,11,False,-1_0_1,-0.16666666666666666
DeepSeek-V3.2,1,17,0,10,10,1,consistent,1.0
DeepSeek-V3.2,1,18,0,3,11,False,polar,0.3333333333333333
DeepSeek-V3.2,1,19,0,8,11,False,polar,0.6666666666666666
DeepSeek-V3.2,1,20,0,5,11,False,polar,0.3333333333333333
DeepSeek-V3.2,1,21,0,6,11,False,polar,0.3333333333333333
DeepSeek-V3.2,1,22,0,9,11,False,polar,0.6666666666666666
DeepSeek-V3.2,1,23,0,6,11,False,-1_0_1,-0.5
DeepSeek-V3.2,1,24,0,2,11,False,-1_0_1,0.5
DeepSeek-V3.2,1,25,0,2,11,False,-1_0_1,0.5
DeepSeek-V3.2,1,26,0,3,11,False,polar,-0.3333333333333333
DeepSeek-V3.2,1,27,0,10,11,False,polar,0.6666666666666666
DeepSeek-V3.2,1,28,0,4,11,False,-1_0_1,0.16666666666666666
DeepSeek-V3.2,1,29,0,9,11,False,polar,0.0
DeepSeek-V3.2,1,30,0,8,11,False,-1_0_1,-0.5
DeepSeek-V3.2,2,-4,1,1,11,False,polar,0.6666666666666666
DeepSeek-V3.2,2,-3,1,1,11,False,polar,0.3333333333333333
DeepSeek-V3.2,2,-2,1,1,11,False,polar,0.0
DeepSeek-V3.2,2,-1,1,1,11,False,polar,-0.3333333333333333
DeepSeek-V3.2,2,0,1,1,11,False,polar,0.3333333333333333
DeepSeek-V3.2,2,1,0,3,11,False,polar,0.6666666666666666
DeepSeek-V3.2,2,2,0,4,11,False,polar,0.3333333333333333
DeepSeek-V3.2,2,3,0,1,11,False,polar,-0.3333333333333333
DeepSeek-V3.2,2,4,0,2,11,False,polar,0.6666666666666666
DeepSeek-V3.2,2,5,0,1,11,False,polar,0.0
DeepSeek-V3.2,2,6,0,1,11,False,polar,0.0
DeepSeek-V3.2,2,7,0,1,11,False,polar,0.6666666666666666
DeepSeek-V3.2,2,8,0,5,11,False,polar,0.6666666666666666
DeepSeek-V3.2,2,9,0,3,11,False,polar,0.6666666666666666
DeepSeek-V3.2,2,10,0,2,11,False,polar,-0.3333333333333333
DeepSeek-V3.2,2,11,0,2,11,False,polar,0.3333333333333333
DeepSeek-V3.2,2,12,0,3,11,False,polar,0.6666666666666666
DeepSeek-V3.2,2,13,0,2,11,False,polar,0.6666666666666666
DeepSeek-V3.2,2,14,0,1,11,False,polar,-0.6666666666666666
DeepSeek-V3.2,2,15,0,2,11,False,polar,0.3333333333333333
DeepSeek-V3.2,2,16,0,1,11,False,polar,0.6666666666666666
DeepSeek-V3.2,2,17,0,1,11,False,polar,0.6666666666666666
DeepSeek-V3.2,2,18,0,1,11,False,polar,0.3333333333333333
DeepSeek-V3.2,2,19,0,3,11,False,polar,0.3333333333333333
DeepSeek-V3.2,2,20,0,2,11,False,polar,0.3333333333333333
DeepSeek-V3.2,2,21,0,3,11,False,polar,0.6666666666666666
DeepSeek-V3.2,2,22,0,3,11,False,polar,0.0
DeepSeek-V3.2,2,23,0,1,11,False,polar,-0.3333333333333333
DeepSeek-V3.2,2,24,0,1,11,False,polar,0.6666666666666666
DeepSeek-V3.2,2,25,0,2,11,False,polar,0.3333333333333333
DeepSeek-V3.2,2,26,0,1,11,False,polar,0.6666666666666666
DeepSeek-V3.2,2,27,0,1,11,False,polar,0.3333333333333333
DeepSeek-V3.2,2,28,0,1,11,False,polar,-0.3333333333333333
DeepSeek-V3.2,2,29,0,2,11,False,polar,0.6666666666666666
DeepSeek-V3.2,2,30,0,3,11,False,polar,0.3333333333333333
DeepSeek-V3.2,3,-4,1,7,11,False,polar,0.6666666666666666
DeepSeek-V3.2,3,-3,1,2,2,1,consistent,1.0
DeepSeek-V3.2,3,-2,1,3,11,False,polar,0.6666666666666666
DeepSeek-V3.2,3,-1,1,6,11,False,polar,0.6666666666666666
DeepSeek-V3.2,3,0,1,3,11,False,polar,0.6666666666666666
DeepSeek-V3.2,3,1,0,2,11,False,polar,0.6666666666666666
DeepSeek-V3.2,3,2,0,4,11,False,polar,0.6666666666666666
DeepSeek-V3.2,3,3,0,1,11,False,polar,0.6666666666666666
DeepSeek-V3.2,3,4,0,6,11,False,polar,0.3333333333333333
DeepSeek-V3.2,3,5,0,3,11,False,polar,0.3333333333333333
DeepSeek-V3.2,3,6,0,3,3,1,consistent,1.0
DeepSeek-V3.2,3,7,0,1,11,False,polar,0.6666666666666666
DeepSeek-V3.2,3,8,0,4,4,1,consistent,1.0
DeepSeek-V3.2,3,9,0,10,11,False,polar,0.0
DeepSeek-V3.2,3,10,0,4,11,False,polar,0.3333333333333333
DeepSeek-V3.2,3,11,0,10,11,False,polar,0.0
DeepSeek-V3.2,3,12,0,2,2,1,consistent,1.0
DeepSeek-V3.2,3,13,0,4,4,1,consistent,1.0
DeepSeek-V3.2,3,14,0,10,11,False,polar,0.6666666666666666
DeepSeek-V3.2,3,15,0,10,11,False,polar,0.6666666666666666
DeepSeek-V3.2,3,16,0,10,11,False,polar,0.6666666666666666
DeepSeek-V3.2,3,17,0,10,11,False,polar,0.3333333333333333
DeepSeek-V3.2,3,18,0,5,11,False,polar,0.6666666666666666
DeepSeek-V3.2,3,19,0,1,11,False,polar,0.6666666666666666
DeepSeek-V3.2,3,20,0,3,11,False,polar,0.6666666666666666
DeepSeek-V3.2,3,21,0,2,11,False,polar,0.3333333333333333
DeepSeek-V3.2,3,22,0,4,11,False,polar,0.6666666666666666
DeepSeek-V3.2,3,23,0,5,11,False,polar,0.6666666666666666
DeepSeek-V3.2,3,24,0,10,11,False,polar,0.6666666666666666
DeepSeek-V3.2,3,25,0,2,11,False,polar,0.6666666666666666
DeepSeek-V3.2,3,26,0,2,11,False,polar,0.6666666666666666
DeepSeek-V3.2,3,27,0,2,2,1,consistent,1.0
DeepSeek-V3.2,3,28,0,1,1,1,consistent,1.0
DeepSeek-V3.2,3,29,0,3,3,1,consistent,1.0
DeepSeek-V3.2,3,30,0,2,11,False,polar,0.6666666666666666
DeepSeek-V3.2,4,-4,1,3,11,False,polar,0.6666666666666666
DeepSeek-V3.2,4,-3,1,7,11,False,-1_0_1,-0.16666666666666666
DeepSeek-V3.2,4,-2,1,7,11,False,polar,-0.6666666666666666
DeepSeek-V3.2,4,-1,1,9,11,False,polar,0.3333333333333333
DeepSeek-V3.2,4,0,1,7,11,False,polar,0.3333333333333333
DeepSeek-V3.2,4,1,0,2,11,False,polar,0.6666666666666666
DeepSeek-V3.2,4,2,0,7,7,1,consistent,1.0
DeepSeek-V3.2,4,3,0,3,11,False,polar,0.6666666666666666
DeepSeek-V3.2,4,4,0,7,11,False,polar,0.6666666666666666
DeepSeek-V3.2,4,5,0,1,11,False,polar,0.6666666666666666
DeepSeek-V3.2,4,6,0,3,11,False,polar,0.6666666666666666
DeepSeek-V3.2,4,7,0,3,11,False,polar,0.6666666666666666
DeepSeek-V3.2,4,8,0,9,11,False,polar,0.3333333333333333
DeepSeek-V3.2,4,9,0,2,11,False,polar,0.6666666666666666
DeepSeek-V3.2,4,10,0,6,11,False,polar,0.6666666666666666
DeepSeek-V3.2,4,11,0,4,11,False,polar,0.6666666666666666
DeepSeek-V3.2,4,12,0,5,11,False,polar,0.3333333333333333
DeepSeek-V3.2,4,13,0,5,5,1,consistent,1.0
DeepSeek-V3.2,4,14,0,4,11,False,polar,0.6666666666666666
DeepSeek-V3.2,4,15,0,3,11,False,polar,0.3333333333333333
DeepSeek-V3.2,4,16,0,5,11,False,polar,0.6666666666666666
DeepSeek-V3.2,4,17,0,4,11,False,polar,0.6666666666666666
DeepSeek-V3.2,4,18,0,10,11,False,polar,0.6666666666666666
DeepSeek-V3.2,4,19,0,8,8,1,consistent,1.0
DeepSeek-V3.2,4,20,0,2,11,False,polar,0.6666666666666666
DeepSeek-V3.2,4,21,0,10,11,False,polar,0.6666666666666666
DeepSeek-V3.2,4,22,0,5,11,False,polar,0.6666666666666666
DeepSeek-V3.2,4,23,0,7,11,False,polar,0.6666666666666666
DeepSeek-V3.2,4,24,0,7,11,False,polar,0.6666666666666666
DeepSeek-V3.2,4,25,0,4,11,False,polar,0.3333333333333333
DeepSeek-V3.2,4,26,0,3,11,False,polar,0.6666666666666666
DeepSeek-V3.2,4,27,0,2,11,False,polar,0.6666666666666666
DeepSeek-V3.2,4,28,0,2,11,False,polar,0.3333333333333333
DeepSeek-V3.2,4,29,0,2,11,False,-1_0_1,0.16666666666666666
DeepSeek-V3.2,4,30,0,4,11,False,polar,0.6666666666666666
DeepSeek-V3.2,5,-4,1,3,11,False,polar,0.6666666666666666
DeepSeek-V3.2,5,-3,1,5,5,1,consistent,1.0
DeepSeek-V3.2,5,-2,1,8,11,False,polar,-0.3333333333333333
DeepSeek-V3.2,5,-1,1,5,11,False,polar,0.6666666666666666
DeepSeek-V3.2,5,0,1,5,11,False,polar,0.6666666666666666
DeepSeek-V3.2,5,1,0,1,11,False,polar,0.6666666666666666
DeepSeek-V3.2,5,2,0,2,11,False,polar,0.6666666666666666
DeepSeek-V3.2,5,3,0,1,11,False,polar,0.6666666666666666
DeepSeek-V3.2,5,4,0,2,11,False,polar,0.6666666666666666
DeepSeek-V3.2,5,5,0,1,11,False,polar,0.6666666666666666
DeepSeek-V3.2,5,6,0,1,11,False,polar,0.6666666666666666
DeepSeek-V3.2,5,7,0,2,2,1,consistent,1.0
DeepSeek-V3.2,5,8,0,10,11,False,polar,0.6666666666666666
DeepSeek-V3.2,5,9,0,3,3,1,consistent,1.0
DeepSeek-V3.2,5,10,0,2,2,1,consistent,1.0
DeepSeek-V3.2,5,11,0,10,10,1,consistent,1.0
DeepSeek-V3.2,5,12,0,1,11,False,polar,0.6666666666666666
DeepSeek-V3.2,5,13,0,1,11,False,polar,0.6666666666666666
DeepSeek-V3.2,5,14,0,1,11,False,polar,0.6666666666666666
DeepSeek-V3.2,5,15,0,1,11,False,polar,0.6666666666666666
DeepSeek-V3.2,5,16,0,1,1,1,consistent,1.0
