sex,race,topic,llm,experiment_index,debate_iter,influence,subornness
1,1,1,1,1,1,0,0
1,2,1,1,1,1,0,0
1,3,1,1,1,1,0,0
2,1,1,1,1,1,0,0
2,2,1,1,1,1,0,0
2,3,1,1,1,1,0,0
1,1,1,1,1,2,0,0
1,2,1,1,1,2,0,0
1,3,1,1,1,2,0,0
2,1,1,1,1,2,0,0
2,2,1,1,1,2,0,0
2,3,1,1,1,2,0,0
1,1,1,1,1,3,0,0
1,2,1,1,1,3,0.5787037037037037,0
1,3,1,1,1,3,0,0
2,1,1,1,1,3,0,0
2,2,1,1,1,3,0,-0.5787037037037037
2,3,1,1,1,3,0,0
1,1,1,1,1,4,0,0
1,2,1,1,1,4,0,0
1,3,1,1,1,4,0,0
2,1,1,1,1,4,0,0
2,2,1,1,1,4,0,0
2,3,1,1,1,4,0,0
1,1,1,1,1,5,0,0
1,2,1,1,1,5,0,0
1,3,1,1,1,5,0,0
2,1,1,1,1,5,0,0
2,2,1,1,1,5,0,0
2,3,1,1,1,5,0,0
1,1,1,1,1,6,0,0
1,2,1,1,1,6,0,0
1,3,1,1,1,6,0,0
2,1,1,1,1,6,0,0
2,2,1,1,1,6,0,0
2,3,1,1,1,6,0,0
1,1,1,1,1,7,0,0
1,2,1,1,1,7,0,0
1,3,1,1,1,7,0,0
2,1,1,1,1,7,0,0
2,2,1,1,1,7,0,0
2,3,1,1,1,7,0,0
1,1,1,1,1,8,0,0
1,2,1,1,1,8,0,0
1,3,1,1,1,8,0,0
2,1,1,1,1,8,0,0
2,2,1,1,1,8,0,0
2,3,1,1,1,8,0,0
1,1,1,1,1,9,0,0
1,2,1,1,1,9,0,0
1,3,1,1,1,9,0,0
2,1,1,1,1,9,0,0
2,2,1,1,1,9,0,0
2,3,1,1,1,9,0,0
1,1,1,1,1,10,0,0
1,2,1,1,1,10,0.0807527914449229,0
1,3,1,1,1,10,0,-0.1615055828898458
2,1,1,1,1,10,0,0
2,2,1,1,1,10,0.0807527914449229,0
2,3,1,1,1,10,0,0
1,1,1,1,2,1,0.8333333333333334,0
1,2,1,1,2,1,0,0
1,3,1,1,2,1,0,0
2,1,1,1,2,1,0,-0.8333333333333334
2,2,1,1,2,1,0,0
2,3,1,1,2,1,0,0
1,1,1,1,2,2,0,0
1,2,1,1,2,2,0,0
1,3,1,1,2,2,0.6944444444444445,0
2,1,1,1,2,2,0,0
2,2,1,1,2,2,0,0
2,3,1,1,2,2,0,-0.6944444444444445
1,1,1,1,2,3,0,0
1,2,1,1,2,3,0,0
1,3,1,1,2,3,0,0
2,1,1,1,2,3,0,0
2,2,1,1,2,3,0,0
2,3,1,1,2,3,0,0
1,1,1,1,2,4,0,0
1,2,1,1,2,4,0,0
1,3,1,1,2,4,0,0
2,1,1,1,2,4,0,0
2,2,1,1,2,4,0,0
2,3,1,1,2,4,0,0
1,1,1,1,2,5,0,0
1,2,1,1,2,5,0,0
1,3,1,1,2,5,0,0
2,1,1,1,2,5,0,0
2,2,1,1,2,5,0,0
2,3,1,1,2,5,0,0
1,1,1,1,2,6,0,0
1,2,1,1,2,6,0,0
1,3,1,1,2,6,0,0
2,1,1,1,2,6,0,0
2,2,1,1,2,6,0,0
2,3,1,1,2,6,0,0
1,1,1,1,2,7,0,0
1,2,1,1,2,7,0,0
1,3,1,1,2,7,0.13954082361682674,0
2,1,1,1,2,7,0,0
2,2,1,1,2,7,0,-0.2790816472336535
2,3,1,1,2,7,0.13954082361682674,0
1,1,1,1,2,8,0,0
1,2,1,1,2,8,0,-0.2325680393613779
1,3,1,1,2,8,0.07752267978712596,0
2,1,1,1,2,8,0,0
2,2,1,1,2,8,0.07752267978712596,0
2,3,1,1,2,8,0.07752267978712596,0
1,1,1,1,2,9,0,0
1,2,1,1,2,9,0,0
1,3,1,1,2,9,0,0
2,1,1,1,2,9,0,0
2,2,1,1,2,9,0,0
2,3,1,1,2,9,0,0
1,1,1,1,2,10,0,0
1,2,1,1,2,10,0,0
1,3,1,1,2,10,0,0
2,1,1,1,2,10,0,0
2,2,1,1,2,10,0,0
2,3,1,1,2,10,0,0
1,1,1,1,3,1,0,0
1,2,1,1,3,1,0,-0.8333333333333334
1,3,1,1,3,1,0,0
2,1,1,1,3,1,1.6666666666666667,0
2,2,1,1,3,1,0,-0.8333333333333334
2,3,1,1,3,1,0,0
1,1,1,1,3,2,0,0
1,2,1,1,3,2,0.2314814814814815,0
1,3,1,1,3,2,0,0
2,1,1,1,3,2,0.2314814814814815,0
2,2,1,1,3,2,0.2314814814814815,0
2,3,1,1,3,2,0,-0.6944444444444445
1,1,1,1,3,3,0,0
1,2,1,1,3,3,0,0
1,3,1,1,3,3,0,0
2,1,1,1,3,3,0,0
2,2,1,1,3,3,0,0
2,3,1,1,3,3,0,0
1,1,1,1,3,4,0,0
1,2,1,1,3,4,0,0
1,3,1,1,3,4,0,0
2,1,1,1,3,4,0,0
2,2,1,1,3,4,0,0
2,3,1,1,3,4,0,0
1,1,1,1,3,5,0,0
1,2,1,1,3,5,0,0
1,3,1,1,3,5,0,0
2,1,1,1,3,5,0,0
2,2,1,1,3,5,0,0
2,3,1,1,3,5,0,0
1,1,1,1,3,6,0,0
1,2,1,1,3,6,0.08372449417009604,0
1,3,1,1,3,6,0,-0.3348979766803842
2,1,1,1,3,6,0.08372449417009604,0
2,2,1,1,3,6,0.08372449417009604,0
2,3,1,1,3,6,0.08372449417009604,0
1,1,1,1,3,7,0,0
1,2,1,1,3,7,0,0
1,3,1,1,3,7,0,0
2,1,1,1,3,7,0,0
2,2,1,1,3,7,0,0
2,3,1,1,3,7,0,0
1,1,1,1,3,8,0,0
1,2,1,1,3,8,0,0
1,3,1,1,3,8,0,0
2,1,1,1,3,8,0,0
2,2,1,1,3,8,0,0
2,3,1,1,3,8,0,0
1,1,1,1,3,9,0,0
1,2,1,1,3,9,0,0
1,3,1,1,3,9,0,0
2,1,1,1,3,9,0,0
2,2,1,1,3,9,0,0
2,3,1,1,3,9,0,0
1,1,1,1,3,10,0,0
1,2,1,1,3,10,0,0
1,3,1,1,3,10,0,0
2,1,1,1,3,10,0,0
2,2,1,1,3,10,0,0
2,3,1,1,3,10,0,0
1,1,1,1,4,1,0,0
1,2,1,1,4,1,0,0
1,3,1,1,4,1,0,0
2,1,1,1,4,1,0,0
2,2,1,1,4,1,0.8333333333333334,0
2,3,1,1,4,1,0,-0.8333333333333334
1,1,1,1,4,2,0,0
1,2,1,1,4,2,0,-0.6944444444444445
1,3,1,1,4,2,0,0
2,1,1,1,4,2,0,-0.6944444444444445
2,2,1,1,4,2,0.6944444444444445,0
2,3,1,1,4,2,0.6944444444444445,0
1,1,1,1,4,3,0,0
1,2,1,1,4,3,0,0
1,3,1,1,4,3,0,0
2,1,1,1,4,3,0,0
2,2,1,1,4,3,0,0
2,3,1,1,4,3,0,0
1,1,1,1,4,4,0,0
1,2,1,1,4,4,0,0
1,3,1,1,4,4,0,0
2,1,1,1,4,4,0,0
2,2,1,1,4,4,0,0
2,3,1,1,4,4,0,0
1,1,1,1,4,5,0,0
1,2,1,1,4,5,0,0
1,3,1,1,4,5,0,0
2,1,1,1,4,5,0,0
2,2,1,1,4,5,0,0
2,3,1,1,4,5,0,0
1,1,1,1,4,6,0,0
1,2,1,1,4,6,0,0
1,3,1,1,4,6,0,0
2,1,1,1,4,6,0,0
2,2,1,1,4,6,0,0
2,3,1,1,4,6,0,0
1,1,1,1,4,7,0,0
1,2,1,1,4,7,0,0
1,3,1,1,4,7,0,0
2,1,1,1,4,7,0,0
2,2,1,1,4,7,0,0
2,3,1,1,4,7,0,0
1,1,1,1,4,8,0,0
1,2,1,1,4,8,0,0
1,3,1,1,4,8,0,0
2,1,1,1,4,8,0,0
2,2,1,1,4,8,0,0
2,3,1,1,4,8,0,0
1,1,1,1,4,9,0,0
1,2,1,1,4,9,0,0
1,3,1,1,4,9,0,0
2,1,1,1,4,9,0,0
2,2,1,1,4,9,0,0
2,3,1,1,4,9,0,0
1,1,1,1,4,10,0,0
1,2,1,1,4,10,0,0
1,3,1,1,4,10,0,0
2,1,1,1,4,10,0,0
2,2,1,1,4,10,0,0
2,3,1,1,4,10,0,0
1,1,1,1,5,1,0,0
1,2,1,1,5,1,0,0
1,3,1,1,5,1,0,0
2,1,1,1,5,1,0,0
2,2,1,1,5,1,0,0
2,3,1,1,5,1,0,0
1,1,1,1,5,2,0,0
1,2,1,1,5,2,0,0
1,3,1,1,5,2,0,0
2,1,1,1,5,2,0,-0.6944444444444445
2,2,1,1,5,2,0,0
2,3,1,1,5,2,0.6944444444444445,0
1,1,1,1,5,3,0,0
1,2,1,1,5,3,0,0
1,3,1,1,5,3,0,-0.5787037037037037
2,1,1,1,5,3,0.28935185185185186,0
2,2,1,1,5,3,0,0
2,3,1,1,5,3,0.28935185185185186,0
1,1,1,1,5,4,0,0
1,2,1,1,5,4,0,0
1,3,1,1,5,4,0.16075102880658437,0
2,1,1,1,5,4,0.16075102880658437,0
2,2,1,1,5,4,0,-0.4822530864197532
